650	CHOICE_TRACK	4407	Porosity	RANGE	1	8	0=3%	1=6%	2=9%	3=12%	4=15%	5=18%	6=21%	7=24%	
1829.5	CHOICE_DATUM	4407	1829.5	1831.5	6										2
1845.5	CHOICE_DATUM	4407	1845.5	1847	6										1.5
1874	CHOICE_DATUM	4407	1874	1875.5	6										1.5
1887	CHOICE_DATUM	4407	1887	1888.5	6										1.5
1910.5	CHOICE_DATUM	4407	1910.5	1912.5	6										2
1003.5	CHOICE_DATUM	4407	1003.5	1008	5										4.5
1020	CHOICE_DATUM	4407	1020	1029.5	5										9.5
1046	CHOICE_DATUM	4407	1046	1049	5										3
1053.5	CHOICE_DATUM	4407	1053.5	1056	5										2.5
1057	CHOICE_DATUM	4407	1057	1057.5	5										0.5
1060	CHOICE_DATUM	4407	1060	1068	5										8
1089	CHOICE_DATUM	4407	1089	1107	5										18
1130	CHOICE_DATUM	4407	1130	1143.5	5										13.5
1169	CHOICE_DATUM	4407	1169	1173.5	5										4.5
1196	CHOICE_DATUM	4407	1196	1201	5										5
1222.5	CHOICE_DATUM	4407	1222.5	1230.5	5										8
1247	CHOICE_DATUM	4407	1247	1253	5										6
1254	CHOICE_DATUM	4407	1254	1255.5	5										1.5
1425	CHOICE_DATUM	4407	1425	1431.5	5										6.5
1547	CHOICE_DATUM	4407	1547	1552	5										5
1564.5	CHOICE_DATUM	4407	1564.5	1568	5										3.5
1580.5	CHOICE_DATUM	4407	1580.5	1588.5	5										8
1613	CHOICE_DATUM	4407	1613	1618	5										5
1662	CHOICE_DATUM	4407	1662	1668	5										6
1712.5	CHOICE_DATUM	4407	1712.5	1716.5	5										4
1738.5	CHOICE_DATUM	4407	1738.5	1751.5	5										13
1761.5	CHOICE_DATUM	4407	1761.5	1770.5	5										9
1795	CHOICE_DATUM	4407	1795	1797.5	5										2.5
1816	CHOICE_DATUM	4407	1816	1829.5	5										13.5
1831.5	CHOICE_DATUM	4407	1831.5	1845.5	5										14
1847	CHOICE_DATUM	4407	1847	1854	5										7
1867.5	CHOICE_DATUM	4407	1867.5	1874	5										6.5
1875.5	CHOICE_DATUM	4407	1875.5	1887	5										11.5
1888.5	CHOICE_DATUM	4407	1888.5	1898.5	5										10
1907.5	CHOICE_DATUM	4407	1907.5	1910.5	5										3
1912.5	CHOICE_DATUM	4407	1912.5	1916	5										3.5
1920	CHOICE_DATUM	4407	1920	1925.5	5										5.5
1973	CHOICE_DATUM	4407	1973	1978.5	5										5.5
2010.5	CHOICE_DATUM	4407	2010.5	2016	5										5.5
2065.5	CHOICE_DATUM	4407	2065.5	2071	5										5.5
2082.5	CHOICE_DATUM	4407	2082.5	2086.5	5										4
2157	CHOICE_DATUM	4407	2157	2171	5										14
2200.5	CHOICE_DATUM	4407	2200.5	2209.5	5										9
2230.5	CHOICE_DATUM	4407	2230.5	2237.5	5										7
2304	CHOICE_DATUM	4407	2304	2311	5										7
2330	CHOICE_DATUM	4407	2330	2335	5										5
2351	CHOICE_DATUM	4407	2351	2358.5	5										7.5
2411	CHOICE_DATUM	4407	2411	2417	5										6
2422	CHOICE_DATUM	4407	2422	2423	5										1
2441.5	CHOICE_DATUM	4407	2441.5	2448	5										6.5
949	CHOICE_DATUM	4407	949	1003.5	4										54.5
1008	CHOICE_DATUM	4407	1008	1012.5	4										4.5
1015.5	CHOICE_DATUM	4407	1015.5	1020	4										4.5
1029.5	CHOICE_DATUM	4407	1029.5	1034	4										4.5
1035	CHOICE_DATUM	4407	1035	1035.5	4										0.5
1036	CHOICE_DATUM	4407	1036	1040.5	4										4.5
1041.5	CHOICE_DATUM	4407	1041.5	1046	4										4.5
1049	CHOICE_DATUM	4407	1049	1050	4										1
1051	CHOICE_DATUM	4407	1051	1053.5	4										2.5
1056.5	CHOICE_DATUM	4407	1056.5	1057	4										0.5
1057.5	CHOICE_DATUM	4407	1057.5	1060	4										2.5
1068	CHOICE_DATUM	4407	1068	1070.5	4										2.5
1075	CHOICE_DATUM	4407	1075	1089	4										14
1107	CHOICE_DATUM	4407	1107	1111.5	4										4.5
1120	CHOICE_DATUM	4407	1120	1130	4										10
1143.5	CHOICE_DATUM	4407	1143.5	1157.5	4										14
1158.5	CHOICE_DATUM	4407	1158.5	1164	4										5.5
1164.5	CHOICE_DATUM	4407	1164.5	1169	4										4.5
1173.5	CHOICE_DATUM	4407	1173.5	1180	4										6.5
1194.5	CHOICE_DATUM	4407	1194.5	1196	4										1.5
1201	CHOICE_DATUM	4407	1201	1202	4										1
1219	CHOICE_DATUM	4407	1219	1222.5	4										3.5
1230.5	CHOICE_DATUM	4407	1230.5	1231	4										0.5
1240.5	CHOICE_DATUM	4407	1240.5	1247	4										6.5
1253	CHOICE_DATUM	4407	1253	1254	4										1
1255.5	CHOICE_DATUM	4407	1255.5	1256.5	4										1
1270	CHOICE_DATUM	4407	1270	1309.5	4										39.5
1324.5	CHOICE_DATUM	4407	1324.5	1327	4										2.5
1330.5	CHOICE_DATUM	4407	1330.5	1332.5	4										2
1357	CHOICE_DATUM	4407	1357	1362	4										5
1366.5	CHOICE_DATUM	4407	1366.5	1375	4										8.5
1397	CHOICE_DATUM	4407	1397	1405	4										8
1419.5	CHOICE_DATUM	4407	1419.5	1425	4										5.5
1431.5	CHOICE_DATUM	4407	1431.5	1450	4										18.5
1457	CHOICE_DATUM	4407	1457	1464.5	4										7.5
1467.5	CHOICE_DATUM	4407	1467.5	1475	4										7.5
